id;type;reference;photo;frequence
1;payment program Frozen;envisioneer frictionless;orchestration;66900
2;grid-enabled Account;Soft;evolve Plastic Ireland;55062
3;Human Account;copying CSS orange;methodologies;92276
4;workforce panel;attitude Account Swedish;expedite Tuna;14246
5;up;Human;Agent transmit background;92675
6;Virginia blockchains quantifying;embrace;cross-platform;78030
7;mobile;Distributed;Corporate New;17283
8;Koruna;Refined withdrawal Hat;Wyoming;4352
9;Re-contextualized input;card parsing Manager;Response end-to-end;49915
10;scalable virtual;Borders high-level;Dynamic ubiquitous redefine;27488
